YEAR,XX, STATE,DISTRICT,UNCONTESTED
1998,CA,California,18,Democrat
1998,CA,California,19,Republican
1998,CA,California,21,Republican
1998,CA,California,25,Republican
1998,CA,California,26,Democrat
1998,CA,California,35,Democrat
1998,CA,California,48,Republican
1998,CA,California,50,Democrat
1998,CA,California,52,Republican
1998,FL,Florida,1,Republican
1998,FL,Florida,2,Democrat
1998,FL,Florida,4,Republican
1998,FL,Florida,6,Republican
1998,FL,Florida,7,Republican
1998,FL,Florida,9,Republican
1998,FL,Florida,10,Republican
1998,FL,Florida,12,Republican
1998,FL,Florida,13,Republican
1998,FL,Florida,14,Republican
1998,FL,Florida,16,Republican
1998,FL,Florida,17,Democrat
1998,FL,Florida,18,Republican
1998,FL,Florida,19,Democrat
1998,FL,Florida,20,Democrat
1998,FL,Florida,22,Republican
1998,FL,Florida,23,Democrat
1998,GA,Georgia,1,Republican
1998,GA,Georgia,3,Republican
1998,GA,Georgia,9,Republican
1998,IA,Iowa,5,Republican
1998,IL,Illinois,7,Democrat
1998,IL,Illinois,10,Republican
1998,IL,Illinois,16,Republican
1998,IL,Illinois,18,Republican
1998,LA,Louisiana,1,Republican
